"Draw","Date","Winning_Number_1","Winning_Number_2","Winning_Number_3","Winning_Number_4","Winning_Number_5","Winning_Number_6","Additional_Number_","From_Last","Odd","Even","_1-10","_11-20","_21-30","_31-40","_41-50","Division_1_Winners","Division_1_Prize","Division_2_Winners","Division_2_Prize","Division_3_Winners","Division_3_Prize","Division_4_Winners","Division_4_Prize","Division_5_Winners","Division_5_Prize","Division_6_Winners","Division_6_Prize","Division_7_Winners","Division_7_Prize","division_1_total_amount","division_2_total_amount","division_3_total_amount","division_4_total_amount","division_5_total_amount","division_6_total_amount","division_7_total_amount","number_of_winners","total_amount_given"
"3766","19/5/2022","5","8","13","20","21","46","31","21,46","3","3","2","2","1","0","1","1","5346307","7","78069","331","1136","712","288","14856","50","17820","25","242878","10","5346307","546483","376016","205056","742800","445500","2428780","276605","10090942"
"3765","16/5/2022","21","22","40","41","42","46","9","41,46","2","4","0","0","2","1","3","0","0","1","336784","86","2693","284","445","5535","50","8646","25","106255","10","0","336784","231598","126380","276750","216150","1062550","120807","2250212"
"3764","12/5/2022","15","20","36","38","41","46","10","15","2","4","0","2","0","2","2","0","0","2","121139","95","1754","194","469","3928","50","5675","25","73058","10","0","242278","166630","90986","196400","141875","730580","82952","1568749"
"3763","9/5/2022","5","12","15","21","30","39","6","39","4","2","1","2","2","1","0","1","1189046","5","50066","159","1083","482","195","7834","50","10850","25","117050","10","1189046","250330","172197","93990","391700","271250","1170500","136381","3539013"
"3762","5/5/2022","7","13","35","39","41","45","1","35","6","0","1","1","0","2","2","1","2826579","3","113058","107","2180","292","436","6063","50","8549","25","115244","10","2826579","339174","233260","127312","303150","213725","1152440","130259","5195640"
"3761","2/5/2022","12","14","23","32","35","38","13","","2","4","0","2","1","3","0","0","0","3","85300","97","1814","254","378","5323","50","7368","25","96398","10","0","255900","175958","96012","266150","184200","963980","109443","1942200"
"3760","28/4/2022","5","6","11","16","22","37","44","6,16","3","3","2","2","1","1","0","1","2756990","3","110152","201","1131","378","328","10301","50","9852","25","164343","10","2756990","330456","227331","123984","515050","246300","1643430","185079","5843541"
"3759","25/4/2022","6","16","26","32","39","47","23","16,32","2","4","1","1","1","2","1","0","0","3","83322","81","2122","273","344","4349","50","7256","25","81710","10","0","249966","171882","93912","217450","181400","817100","93672","1731710"
"3758","21/4/2022","13","16","19","32","38","43","20","","3","3","0","3","0","2","1","2","1392984","4","84476","220","1056","280","453","8439","50","8762","25","130444","10","2785968","337904","232320","126840","421950","219050","1304440","148151","5428472"
"3757","18/4/2022","12","20","33","39","42","48","49","","2","4","0","2","0","2","2","0","0","1","248616","86","1988","165","566","4422","50","5251","25","81810","10","0","248616","170968","93390","221100","131275","818100","91735","1683449"
"3756","14/4/2022","4","6","23","26","29","30","36","","2","4","2","0","4","0","0","2","5667055","11","108062","576","1419","1294","345","29410","50","34604","25","507015","10","11334110","1188682","817344","446430","1470500","865100","5070150","572912","21192316"
"3755","11/4/2022","2","12","18","27","36","49","6","","2","4","1","2","1","1","1","0","0","12","50621","284","1471","850","268","12970","50","21620","25","234342","10","0","607452","417764","227800","648500","540500","2343420","270078","4785436"
"3754","7/4/2022","1","7","10","28","31","44","9","28,31","3","3","3","0","1","1","1","0","0","7","47300","214","1064","556","224","10184","50","16109","25","155269","10","0","331100","227696","124544","509200","402725","1552690","182339","3147955"
"3753","4/4/2022","14","15","28","31","40","42","44","","2","4","0","2","1","2","1","0","0","2","129453","74","2406","215","452","4320","50","5945","25","86706","10","0","258906","178044","97180","216000","148625","867060","97262","1765815"
