"Draw","Date","Grouping","Number_of_winners","Prize_money"
"3766","19/5/2022","Group 1","1","5346307"
"3765","16/5/2022","Group 1","0","0"
"3764","12/5/2022","Group 1","0","0"
"3763","9/5/2022","Group 1","1","1189046"
"3762","5/5/2022","Group 1","1","2826579"
"3761","2/5/2022","Group 1","0","0"
"3760","28/4/2022","Group 1","1","2756990"
"3759","25/4/2022","Group 1","0","0"
"3758","21/4/2022","Group 1","2","1392984"
"3757","18/4/2022","Group 1","0","0"
"3756","14/4/2022","Group 1","2","5667055"
"3755","11/4/2022","Group 1","0","0"
"3754","7/4/2022","Group 1","0","0"
"3753","4/4/2022","Group 1","0","0"
"3752","31/3/2022","Group 1","1","2781896"
"3751","28/3/2022","Group 1","0","0"
"3750","24/3/2022","Group 1","2","575849"
"3749","21/3/2022","Group 1","1","1229817"
"3748","17/3/2022","Group 1","1","5321344"
"3747","14/3/2022","Group 1","0","0"
"3746","10/3/2022","Group 1","0","0"
"3745","7/3/2022","Group 1","1","1226104"
"3744","3/3/2022","Group 1","1","2818036"
"3743","28/2/2022","Group 1","0","0"
"3742","24/2/2022","Group 1","1","2842012"
"3741","21/2/2022","Group 1","0","0"
"3740","17/2/2022","Group 1","1","1296172"
"3739","14/2/2022","Group 1","1","1374201"
"3738","11/2/2022","Group 1","8","2427114"
"3737","7/2/2022","Group 1","0","0"
"3736","3/2/2022","Group 1","0","0"
"3735","31/1/2022","Group 1","1","3419291"
"3734","27/1/2022","Group 1","0","0"
"3733","24/1/2022","Group 1","1","1204831"
"3732","21/1/2022","Group 1","2","2576642"
"3731","17/1/2022","Group 1","1","1350206"
"3730","13/1/2022","Group 1","1","1222451"
"3729","10/1/2022","Group 1","2","5356938"
"3728","7/1/2022","Group 1","0","0"
"3727","3/1/2022","Group 1","1","2919972"
"3726","30/12/2021","Group 1","0","0"
"3725","27/12/2021","Group 1","1","1185706"
"3724","23/12/2021","Group 1","1","5123553"
"3723","20/12/2021","Group 1","0","0"
"3722","16/12/2021","Group 1","0","0"
"3721","13/12/2021","Group 1","1","1171190"
"3720","9/12/2021","Group 1","1","1131910"
"3719","6/12/2021","Group 1","2","2636860"
"3718","2/12/2021","Group 1","0","0"
"3717","29/11/2021","Group 1","0","0"
"3716","25/11/2021","Group 1","2","562221"
"3715","22/11/2021","Group 1","1","2819063"
"3714","18/11/2021","Group 1","0","0"
"3713","15/11/2021","Group 1","3","3612023"
"3712","11/11/2021","Group 1","0","0"
"3711","8/11/2021","Group 1","0","0"
"3710","4/11/2021","Group 1","0","0"
"3709","1/11/2021","Group 1","2","5442802"
"3708","28/10/2021","Group 1","0","0"
"3707","25/10/2021","Group 1","0","0"
"3706","21/10/2021","Group 1","0","0"
"3705","18/10/2021","Group 1","2","5311505"
"3704","14/10/2021","Group 1","0","0"
"3703","11/10/2021","Group 1","0","0"
"3702","7/10/2021","Group 1","0","0"
